"term","estimate","std_error","z_value","p_value","p_adj_BH"
"(Intercept)",-9.86572632908626,0.0240696282539121,-409.882787761076,0,0
"mut_classC->G",-0.839451456984044,0.0102614808943645,-81.8060731804374,0,0
"mut_classC->T",1.33411130214347,0.00633477260784335,210.601293011157,0,0
"mut_classT->A",-0.78008743110387,0.0100068589798006,-77.9552737455898,0,0
"mut_classT->C",0.183190003278975,0.00765362593797003,23.9350609454481,1.32217323421608e-126,2.18158583645654e-126
"mut_classT->G",-0.858054421950743,0.0102755474448907,-83.5044971134256,0,0
"speciesC. jejuni",2.47154805480865,0.0268355129198713,92.0998999418606,0,0
"speciesE. coli",2.78355502425641,0.0242376264377321,114.844373536639,0,0
"speciesH. influenzae",1.93089196198308,0.0281106162856449,68.6890654535069,0,0
"speciesK. pneumoniae",3.24043148104261,0.0238935505754026,135.619504134245,0,0
"speciesL. monocytogenes",2.37460460707959,0.0254389876321982,93.3450906699623,0,0
"speciesM. tuberculosis",2.68789179896538,0.0242740774320742,110.730955954428,0,0
"speciesN. meningitidis",1.54997608911197,0.0282691851970783,54.8291745342617,0,0
"speciesP. aeruginosa",1.62310958445537,0.0248594862511262,65.2913567102315,0,0
"speciesS. agalactiae",2.61895902861924,0.0256768200553253,101.997016101535,0,0
"speciesS. aureus",3.07917147154214,0.0245911943371204,125.214392978633,0,0
"speciesS. epidermidis",2.86799871316021,0.0249381136030252,115.004637432251,0,0
"speciesS. pneumoniae",2.03570310744345,0.0270085012490387,75.3726794638743,0,0
"speciesS. typhimurium",0.409959966175956,0.029749432169979,13.780429953539,3.34275391815301e-43,4.41243517196197e-43
"is_igrTRUE",-0.72005463347986,0.053158484423801,-13.5454319528618,8.43164517112355e-42,1.0701703486426e-41
"speciesC. jejuni:is_igrTRUE",-2.87841226641235,0.122633065070323,-23.4717469123172,7.92905629267211e-122,1.24599456027705e-121
"speciesE. coli:is_igrTRUE",-0.693441957194478,0.0560342301830933,-12.3753276332813,3.55440901876204e-35,4.18912491496954e-35
"speciesH. influenzae:is_igrTRUE",-1.54525331096047,0.0872191672180512,-17.7169005420251,3.10558738707375e-70,4.65838108061062e-70
"speciesK. pneumoniae:is_igrTRUE",-0.541418107631773,0.0544838606922469,-9.93721995381317,2.86717134342216e-23,3.05215013977198e-23
"speciesL. monocytogenes:is_igrTRUE",-1.0802821771655,0.063578715764605,-16.9912550792179,9.53273845709849e-65,1.36774073514891e-64
"speciesM. tuberculosis:is_igrTRUE",-0.645854942817684,0.0560817271254597,-11.5163169167891,1.09178717771404e-30,1.20096589548544e-30
"speciesN. meningitidis:is_igrTRUE",-0.599001487105943,0.0700701092313307,-8.54860215970821,1.24588159082766e-17,1.28481539054102e-17
"speciesP. aeruginosa:is_igrTRUE",-0.708252134075116,0.0585844337293271,-12.0894252788615,1.20124075060794e-33,1.36692913000214e-33
"speciesS. agalactiae:is_igrTRUE",-0.799322455036066,0.0623496124088276,-12.8200067996396,1.2668941363363e-37,1.54842616663326e-37
"speciesS. aureus:is_igrTRUE",-1.56135261803846,0.0620504569262933,-25.1626288569175,1.02804400168076e-139,1.88474733641472e-139
"speciesS. epidermidis:is_igrTRUE",-1.63152124561227,0.0655529245192908,-24.8886111119597,9.8834994361609e-137,1.71660779680689e-136
"speciesS. pneumoniae:is_igrTRUE",-1.08939189038543,0.071710999094754,-15.1914197840973,4.03093353490209e-52,5.54253361049037e-52
"speciesS. typhimurium:is_igrTRUE",-0.141383639549318,0.0687557850540606,-2.05631627125124,0.0397520409252255,0.0397520409252255
