species,category,n_mut,opp
B. pertussis,synonymous,591,2939979
B. pertussis,nonsynonymous,1217,8430846
B. pertussis,intergenic,440,174573
C. jejuni,synonymous,2182,921017
C. jejuni,nonsynonymous,3884,3663358
C. jejuni,intergenic,83,49793
E. coli,synonymous,13218,2950549
E. coli,nonsynonymous,16146,9602264
E. coli,intergenic,3572,286705
H. influenzae,synonymous,1644,1045370
H. influenzae,nonsynonymous,2595,3745762
H. influenzae,intergenic,220,103645
K. pneumoniae,synonymous,28542,3536595
K. pneumoniae,nonsynonymous,27962,11008755
K. pneumoniae,intergenic,8002,320185
L. monocytogenes,synonymous,4419,1726105
L. monocytogenes,nonsynonymous,6353,6173438
L. monocytogenes,intergenic,890,157737
M. tuberculosis,synonymous,10507,3139066
M. tuberculosis,nonsynonymous,17171,8855918
M. tuberculosis,intergenic,3531,191350
N. meningitidis,synonymous,1756,1295218
N. meningitidis,nonsynonymous,2313,4320737
N. meningitidis,intergenic,544,190095
P. aeruginosa,synonymous,6752,4778201
P. aeruginosa,nonsynonymous,8658,14225389
P. aeruginosa,intergenic,1847,367107
S. typhimurium,synonymous,961,3232891
S. typhimurium,nonsynonymous,2054,10430567
S. typhimurium,intergenic,637,313213
S. aureus,synonymous,6191,1514117
S. aureus,nonsynonymous,13899,5733646
S. aureus,intergenic,1026,222986
S. epidermidis,synonymous,4294,1381686
S. epidermidis,nonsynonymous,10661,5251206
S. epidermidis,intergenic,712,220170
S. agalactiae,synonymous,2755,1198905
S. agalactiae,nonsynonymous,6795,4358577
S. agalactiae,intergenic,1045,120010
S. pneumoniae,synonymous,2297,1233542
S. pneumoniae,nonsynonymous,3407,4413724
S. pneumoniae,intergenic,467,137611
